"Imports of goods by group country, country and territory (*) by Group country, country and territory and Year"

"Group country, country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"France";276.6;416.8;550.8;379.8;309.3;334.2;300.4;299.2;411.0;617.4;447.7;421.1;1155.4;816.5;753.9;969.0;1205.0;1589.1;992.8;1111.4;1281.4;1144.3
"Switzerland";74.6;141.3;144.6;93.7;101.8;103.9;94.7;129.9;292.3;686.8;893.4;1357.1;1016.2;1898.6;436.1;1006.6;1771.0;398.1;409.7;367.3;437.0;505.9
"Canada";24.9;35.1;36.9;41.3;49.5;37.6;56.8;63.7;76.6;96.8;173.6;178.6;287.2;297.8;235.8;349.3;342.1;455.7;406.4;385.2;448.3;395.5
"United States";130.4;245.8;251.5;324.9;322.7;363.4;410.8;458.3;1143.3;1133.9;862.9;987.0;1700.5;2646.6;2710.5;3766.9;4529.2;4826.4;5223.8;6287.0;7785.0;9701.6
"Argentina";2.3;0.9;3.3;4.7;26.4;29.4;58.7;90.0;165.4;172.2;271.2;240.8;409.4;379.1;580.2;826.3;858.9;915.5;1241.6;1715.3;2163.2;2672.2
"Brazil";9.8;4.8;3.2;8.9;8.2;10.7;12.6;29.1;33.4;46.6;75.6;146.6;230.7;373.9;346.8;543.6;938.3;1019.3;1294.5;1849.3;2437.1;1722.3
"Chile";..;..;..;..;..;3.6;3.1;9.1;19.9;43.5;77.5;104.7;110.1;104.4;105.4;291.2;335.7;370.1;314.8;367.5;290.5;231.7
"Mexico";0.2;2.7;1.5;3.3;6.4;2.5;5.7;6.5;11.2;13.0;7.9;18.6;58.7;61.6;111.2;89.1;91.3;111.8;114.3;262.7;477.0;483.9
"Panama";..;..;..;..;..;3.3;6.6;6.0;4.6;22.6;0.2;54.3;148.4;66.0;30.6;12.0;19.4;6.8;21.9;17.5;23.4;..
"Peru";..;..;..;..;..;4.5;9.6;3.5;11.2;17.0;31.9;39.0;48.0;71.1;70.6;69.0;89.9;96.6;42.8;98.0;60.0;76.5
"Egypt";..;1.4;1.1;0.2;1.4;2.6;0.5;0.9;6.9;2.5;19.1;7.9;4.9;11.1;20.9;12.2;14.4;7.6;8.7;15.4;17.8;..
"Tunisia";..;..;..;..;..;8.3;4.3;6.0;6.2;5.7;5.1;9.9;1.4;65.3;5.9;5.2;4.2;7.6;6.6;6.0;5.8;8.7
"Cote d'Ivoire";..;..;..;..;..;1.1;5.8;2.9;5.1;8.4;12.8;14.2;36.3;100.2;74.2;129.5;174.5;135.9;255.3;250.3;450.4;703.0
"Liberia";..;..;..;..;..;11.9;0.1;0.4;0.1;5.6;0.3;4.0;4.7;113.7;3.1;..;0.7;5.3;4.7;5.3;..;..
"Mali";..;..;..;..;..;5.3;3.4;3.8;5.6;7.3;12.6;17.5;16.3;13.9;7.2;23.8;24.3;18.6;58.8;70.6;57.9;..
"South Africa";2.6;2.5;13.0;2.6;4.3;4.2;5.1;24.8;78.5;90.5;108.0;54.0;73.2;137.3;104.0;165.1;223.8;111.1;154.7;144.6;115.0;149.5
"Nigeria";..;..;..;..;..;5.6;11.5;6.0;10.1;14.1;30.7;19.1;22.0;41.5;31.1;46.2;116.9;94.8;69.9;99.2;131.2;..
"Zambia";..;..;..;..;..;..;0.0;3.6;4.5;3.4;1.4;1.5;0.6;0.9;7.2;28.3;60.6;63.0;29.4;6.1;61.7;..
"New Zealand";3.3;20.6;22.3;40.5;55.2;61.3;141.9;60.4;90.1;109.2;118.7;159.7;246.4;237.2;207.4;353.0;383.9;384.9;454.8;478.3;2039.7;356.9
"Australia";100.6;132.8;192.6;253.9;215.7;293.5;266.4;286.3;278.0;458.8;498.5;1099.7;1059.4;1357.9;1045.9;1443.6;2123.3;1772.2;1586.0;2054.7;377.8;2424.9
