"Production of aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Pre.2016"
"Ben Tre";66500.0;64081.0;42260.0;37618.0;42509.0;50340.0;61168.0;70619.0;66099.0;58520.0;63358.0;69264.0;99553.0;157018.0;146707.0;166671.0;195029.0;226256.0;230641.0;243576.0;242483.0;251599.0
"Tra Vinh";12585.0;20460.0;25500.0;25700.0;26090.0;21673.0;28532.0;37624.0;48124.0;64189.0;73900.0;75980.0;83349.0;85757.0;83423.0;78834.0;89709.0;72213.0;88361.0;95328.0;91899.0;103398.0
"Vinh Long";6150.0;6168.3;6149.6;6204.0;6568.0;6980.0;8241.0;11546.0;17164.0;22607.0;29038.0;45456.0;91287.0;100526.0;113859.0;132782.0;135445.0;133755.0;122154.0;105083.0;105686.0;107715.0
"Dong Thap";24509.0;27292.1;32268.2;31806.0;36869.0;34723.0;35797.0;35998.0;42502.0;66874.0;114941.0;158491.0;230051.0;281366.0;294597.0;345373.0;376818.0;424263.0;413988.0;461415.0;469015.0;474909.0
"An Giang";35060.0;48427.0;41579.0;40731.0;60984.0;80156.0;83643.0;110599.0;136825.0;154675.0;180562.0;181952.0;263989.0;315447.0;298235.0;296273.0;295216.0;300837.0;293500.0;305738.0;313926.0;343631.0
"Kien  Giang";4901.0;7466.0;8324.0;7212.0;6387.0;9991.0;18979.0;14535.0;20636.0;25882.0;48231.0;66159.0;84774.0;110230.0;115678.0;90232.0;106506.0;127033.0;135011.0;170335.0;183480.0;197227.0
"Can Tho";6405.0;7171.0;7606.0;7160.0;11359.0;12980.0;15122.0;25215.0;36324.0;59086.0;83783.0;110214.0;150857.0;181743.0;191824.0;172360.0;188808.0;191753.0;173862.0;173769.0;166326.0;160208.0
"Hau Giang";..;..;..;..;..;..;..;..;9899.0;15790.0;21810.0;25570.0;31851.0;38659.0;40767.0;44424.0;50616.0;62814.0;59014.0;58246.0;57323.0;57760.0
"Soc Trang";6210.0;10258.0;7366.0;8091.0;6400.0;15422.0;18680.0;23695.0;30750.0;41201.0;71708.0;82080.0;104630.0;138184.0;141592.0;124550.0;122045.0;124927.0;138479.0;148163.0;156042.0;167202.0
"Bac Lieu";8503.0;9814.0;10168.0;11755.0;13681.0;22366.0;37704.0;48953.0;72468.0;92812.0;110775.0;119800.0;130065.0;129730.0;139700.0;150003.0;154979.0;158388.0;160436.0;178095.0;191584.0;195168.0
"Ca Mau";46969.0;43272.0;45995.0;42363.0;46718.0;73139.0;87688.0;88314.0;92317.0;98186.0;120086.0;138323.0;149725.0;174476.0;188670.0;234356.0;255577.0;269763.0;276410.0;294282.0;306318.0;282043.0
